City,Latitude,Longitude
Atlantis,26.5909,-80.1009
Belle Glade,26.6845,-80.6676
Boca Raton,26.3683,-80.1289
Boynton Beach,26.5318,-80.0905
Briny Breezes,26.5084,-80.0509
Cloud Lake,26.6762,-80.0739
Delray Beach,26.4615,-80.0728
Glen Ridge,26.6695,-80.0742
Golf,26.5025,-80.1066
Greenacres,26.6276,-80.1354
Gulf Stream,26.4937,-80.0550
Haverhill,26.6912,-80.1200
Highland Beach,26.3995,-80.0656
Hypoluxo,26.5665,-80.0534
Juno Beach,26.8798,-80.0534
Jupiter,26.9342,-80.0942
Jupiter Inlet Colony,26.9479,-80.0744
Lake Clarke Shores,26.6453,-80.0759
Lake Park,26.8003,-80.0664
Lake Worth,26.6168,-80.0684
Lantana,26.5867,-80.0520
Loxahatchee Groves,26.7065,-80.2657
Manalapan,26.5692,-80.0448
Mangonia Park,26.7603,-80.0737
North Palm Beach,26.8171,-80.0591
Ocean Ridge,26.5270,-80.0484
Pahokee,26.8201,-80.6653
Palm Beach,26.7056,-80.0364
Palm Beach Gardens,26.8234,-80.1387
Palm Beach Shores,26.7781,-80.0356
Palm Springs,26.6359,-80.0962
Riviera Beach,26.7753,-80.0581
Royal Palm Beach,26.7153,-80.0534
South Bay,26.6640,-80.7162
South Palm Beach,26.5890,-80.0387
Tequesta,26.9636,-80.1121
Wellington,26.6618,-80.2684
Westlake,26.7615,-80.2963
West Palm Beach,26.7153,-80.0534
